,Energy
0,424.04503342081904
1,512.9421762522538
2,521.5035178628978
3,518.3846038830947
4,566.0777545581261
5,536.3334066204193
6,517.2029215907415
7,603.3410720171914
8,520.9189651433088
9,503.190526538583
10,600.4191008394059
11,566.1094640657677
12,546.2048585987101
13,519.1513717766179
14,512.9023054393612
15,504.17921967888776
16,604.0394048197938
17,536.7744033805011
18,464.8914915170755
19,468.5935639206891
20,465.1957901382692
21,477.26957582836593
22,452.13879847213383
23,463.8052129028387
24,466.228366210227
25,465.1308834709992
26,465.2592409248369
27,452.1509373459974
28,470.1422744112452
29,450.5644460988474
30,477.419209778212
31,465.50302422581615
32,484.9061832937943
33,498.95908063457154
34,475.9911589480245
35,481.30796992399866
36,465.31657558334575
37,467.8916306555339
38,465.3182057423269
39,460.41969822003824
40,506.1277564174792
41,503.46193200712116
42,481.6664683712182
43,465.21916806667514
44,464.63240204922545
45,472.7083445630634
46,508.60039172723623
47,466.04722058246483
48,471.08101582274776
49,464.6445179959505
50,455.0164764194703
51,589.4858470725554
52,517.5515785329872
53,521.3412274005585
54,567.8027016131233
55,623.1348367199926
56,515.2493888463483
57,451.5018910724684
58,422.38283241247433
59,602.174454953914
60,619.7277707884626
61,641.9434684449833
62,625.921074766712
63,625.8705893353294
64,511.46022940615967
65,635.8836394937489
66,624.2110869538283
67,584.3081872048267
68,538.459431872275
69,465.1736404672649
70,632.184610334349
71,415.3837768758411
72,435.8609355315991
73,429.43794448624243
74,418.8303633297171
75,412.57825896823334
76,429.85059034203647
77,425.7855389140443
78,417.938541074189
79,436.75400865390526
80,415.5131281207392
81,413.0443197903072
82,422.13937547840436
83,415.6898213603248
84,414.30326095250774
85,544.6278420602071
86,463.4130267749864
87,578.7575769145358
88,455.84588441822706
89,448.5730234599583
90,525.8290315923415
91,438.1847393826759
92,599.0739482038061
93,553.5784067320745
94,573.4252356629341
95,588.6315564447168
96,454.2076223454696
97,496.1451635405903
98,540.8481265347183
99,453.6551287739963
100,593.1140311471154
101,444.70032779270974
102,599.6205839211863
103,567.8503342878289
104,621.0784174276297
105,452.06161553624867
106,541.9853105064088
107,563.7350837008433
108,581.2687404525577
109,589.3610340101251
110,622.6955427586848
111,586.4452247797935
112,528.8596586802208
113,525.0149190355781
114,621.5282718384644
115,507.0504142816606
116,423.97302153881344
117,420.9706536284899
118,609.1195730682796
119,551.9265982028887
120,555.2580581113241
121,544.4778892314008
122,616.3138941823543
123,420.2219142169567
124,581.124395677618
125,524.7235354460423
126,643.1591310537805
127,621.8477624766529
128,639.0016640763213
129,622.8734071245747
130,634.6000962169396
131,646.5474082159695
132,655.9750982601961
133,645.3231594914108
134,601.7335549024344
135,600.1888662501816
136,616.0944848283955
137,641.6284764243085
138,627.1803049060849
139,419.450098842768
140,422.2586608581594
141,414.7002643887865
142,412.2944036273443
143,417.3389458178227
144,417.7043147317165
145,597.129389762338
146,611.7440634315087
147,619.9669836559215
148,582.4464804684728
149,594.2969127336276
150,608.9530786867044
151,606.7918360521572
152,611.4262821675637
153,592.5088614461733
154,645.4073041781213
155,622.137817194586
156,609.139464708182
157,577.3280995138635
158,573.4052075529536
159,595.8710033001867
160,621.0291017192542
161,619.6993222838075
162,587.7823379953298
163,595.9240784840097
164,592.1240080832933
165,621.9139150832622
166,597.795078901991
167,609.7724346640173
168,638.5258742690974
